Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Davion Mitchell,26.0,MIA,PG,4.0,3.0,35.5,6.3,10.3,0.61,1.8,3.5,0.5,4.5,6.8,0.667,0.695,0.8,1.8,0.429,0.5,1.8,2.3,6.3,0.8,0.3,2.0,2.8,15.0
Rui Hachimura,26.0,LAL,PF,5.0,5.0,36.4,5.6,11.4,0.491,3.0,6.2,0.484,2.6,5.2,0.5,0.623,0.6,0.6,1.0,0.8,3.8,4.6,1.0,0.6,0.6,1.4,2.4,14.8
Jaden McDaniels,24.0,MIN,PF,15.0,15.0,33.1,5.8,11.3,0.515,1.4,3.7,0.382,4.4,7.6,0.579,0.577,1.7,1.9,0.893,1.8,3.8,5.6,1.5,1.3,0.9,1.2,3.3,14.7
Malik Beasley,28.0,DET,SG,6.0,0.0,27.2,4.7,12.5,0.373,3.3,9.8,0.339,1.3,2.7,0.5,0.507,1.3,1.3,1.0,0.2,2.3,2.5,1.2,0.5,0.2,1.2,1.7,14.0
Bobby Portis,29.0,MIL,PF,5.0,1.0,31.6,6.0,13.6,0.441,2.0,5.6,0.357,4.0,8.0,0.5,0.515,0.0,0.2,0.0,1.6,6.6,8.2,1.4,0.4,0.4,1.2,1.6,14.0
Myles Turner,28.0,IND,C,23.0,23.0,29.3,4.6,9.5,0.484,1.3,3.9,0.344,3.3,5.6,0.581,0.555,3.2,4.2,0.771,1.2,3.6,4.8,1.4,0.5,2.0,1.7,3.0,13.8
Jarrett Allen,26.0,CLE,C,9.0,9.0,29.0,4.9,6.8,0.721,0.0,0.0,,4.9,6.8,0.721,0.721,3.7,3.9,0.943,2.3,6.1,8.4,1.3,1.4,0.9,1.9,1.7,13.4
Jalen Green,22.0,HOU,SG,7.0,7.0,31.3,4.6,12.3,0.372,1.9,6.3,0.295,2.7,6.0,0.452,0.448,2.3,3.4,0.667,0.4,5.0,5.4,2.9,0.6,0.3,1.4,0.9,13.3
Santi Aldama,24.0,MEM,PF,4.0,1.0,30.5,5.3,11.0,0.477,2.5,6.0,0.417,2.8,5.0,0.55,0.591,0.0,0.0,,0.5,5.5,6.0,1.8,0.0,0.3,1.3,1.8,13.0
Aaron Nesmith,25.0,IND,SF,23.0,23.0,28.3,4.3,9.2,0.472,2.6,5.3,0.492,1.7,3.9,0.444,0.613,1.3,1.6,0.861,1.2,4.5,5.7,1.1,0.9,0.8,1.0,4.1,12.7
Christian Braun,23.0,DEN,SG,14.0,14.0,38.9,4.8,10.6,0.453,1.5,5.0,0.3,3.3,5.6,0.59,0.524,1.6,2.2,0.71,1.8,4.6,6.4,2.4,1.2,0.7,1.0,3.4,12.6
Buddy Hield,32.0,GSW,SG,12.0,9.0,27.3,4.3,10.4,0.416,2.8,6.4,0.429,1.6,4.0,0.396,0.548,1.1,1.2,0.929,1.5,2.0,3.5,1.8,1.2,0.4,1.1,2.0,12.5
Andrew Nembhard,25.0,IND,SG,23.0,23.0,33.4,4.6,9.7,0.471,1.7,3.7,0.465,2.8,6.0,0.474,0.561,1.6,2.0,0.804,0.6,2.6,3.2,4.7,1.5,0.2,1.8,2.7,12.5
Dennis Schröder,31.0,DET,PG,6.0,0.0,27.3,4.3,8.8,0.491,1.7,3.5,0.476,2.7,5.3,0.5,0.585,2.2,2.7,0.813,0.7,1.7,2.3,3.7,1.2,0.2,1.2,2.0,12.5
Dillon Brooks,29.0,HOU,SF,7.0,7.0,29.4,4.0,9.0,0.444,1.4,4.1,0.345,2.6,4.9,0.529,0.524,2.9,3.4,0.833,1.3,1.9,3.1,1.3,0.7,0.3,1.3,3.9,12.3
Tim Hardaway Jr.,32.0,DET,SG,6.0,6.0,31.3,4.0,11.8,0.338,2.7,8.7,0.308,1.3,3.2,0.421,0.451,1.3,1.7,0.8,0.3,2.5,2.8,1.2,0.3,0.0,1.5,1.7,12.0
Payton Pritchard,27.0,BOS,PG,11.0,0.0,27.5,4.1,9.0,0.455,2.5,6.1,0.403,1.6,2.9,0.563,0.591,1.3,1.5,0.824,0.8,1.5,2.3,1.5,0.5,0.0,0.8,1.7,11.9
Jalen Duren,21.0,DET,C,6.0,6.0,33.8,4.3,6.7,0.65,0.0,0.0,,4.3,6.7,0.65,0.65,3.2,3.8,0.826,4.3,6.3,10.7,3.5,0.3,1.7,1.7,4.3,11.8
Ty Jerome,27.0,CLE,SG,9.0,1.0,21.2,4.1,10.2,0.402,1.6,4.0,0.389,2.6,6.2,0.411,0.478,1.9,2.2,0.85,0.6,1.9,2.4,3.6,0.6,0.1,1.2,1.8,11.7
Max Strus,28.0,CLE,SF,9.0,9.0,28.1,4.1,9.9,0.416,2.9,7.4,0.388,1.2,2.4,0.5,0.562,0.6,0.7,0.833,1.8,3.9,5.7,3.9,0.7,0.2,0.8,2.6,11.7
Russell Westbrook,36.0,DEN,PG,13.0,0.0,24.1,4.0,10.2,0.391,1.5,4.8,0.317,2.5,5.4,0.457,0.466,2.2,3.1,0.7,1.5,2.2,3.7,2.6,0.9,0.1,2.3,3.2,11.7
Josh Hart,29.0,NYK,SG,18.0,14.0,35.7,3.8,8.0,0.472,1.1,3.0,0.37,2.7,5.0,0.533,0.542,2.9,3.7,0.776,2.4,6.3,8.8,4.4,1.1,0.6,1.9,3.4,11.6
Ausar Thompson,22.0,DET,SF,6.0,6.0,22.5,4.0,7.0,0.571,0.0,0.3,0.0,4.0,6.7,0.6,0.571,3.5,6.0,0.583,1.3,3.8,5.2,1.0,1.2,0.8,1.8,4.2,11.5
Andrew Wiggins,29.0,MIA,SF,4.0,4.0,30.5,4.0,10.8,0.372,1.8,5.0,0.35,2.3,5.8,0.391,0.453,1.8,2.5,0.7,1.0,2.3,3.3,2.3,0.3,1.3,2.8,1.5,11.5
Brandin Podziemski,21.0,GSW,SG,12.0,11.0,32.1,4.0,11.0,0.364,1.8,5.6,0.328,2.2,5.4,0.4,0.447,1.4,2.0,0.708,1.3,3.7,5.0,3.1,1.3,0.2,1.5,1.5,11.3
Kevin Porter Jr.,24.0,MIL,SG,5.0,1.0,30.2,3.8,9.6,0.396,1.4,3.0,0.467,2.4,6.6,0.364,0.469,2.2,2.6,0.846,0.6,3.0,3.6,5.4,0.8,0.0,1.8,2.4,11.2
A.J. Green,25.0,MIL,SG,5.0,1.0,27.0,3.6,7.8,0.462,3.6,7.0,0.514,0.0,0.8,0.0,0.692,0.2,0.4,0.5,0.4,2.4,2.8,2.0,0.0,0.2,0.0,2.6,11.0
De'Andre Hunter,27.0,CLE,SF,8.0,0.0,23.1,3.4,7.9,0.429,1.5,3.3,0.462,1.9,4.6,0.405,0.524,2.8,3.3,0.846,0.8,2.9,3.6,1.0,0.5,0.1,0.9,2.1,11.0
Bennedict Mathurin,22.0,IND,SF,22.0,0.0,17.5,3.1,6.7,0.459,0.8,2.7,0.3,2.3,4.0,0.568,0.52,4.0,4.7,0.864,1.2,2.1,3.3,0.9,0.4,0.3,1.2,1.9,11.0
Naz Reid,25.0,MIN,C,15.0,0.0,25.0,3.7,7.3,0.509,1.7,4.2,0.397,2.1,3.1,0.66,0.623,1.3,1.7,0.76,1.1,3.7,4.7,1.7,0.7,0.9,1.9,2.9,10.4
Wendell Carter Jr.,25.0,ORL,C,5.0,5.0,32.4,4.2,8.0,0.525,0.6,2.2,0.273,3.6,5.8,0.621,0.563,1.2,2.0,0.6,3.8,7.0,10.8,1.2,0.4,0.4,1.6,2.4,10.2
Jrue Holiday,34.0,BOS,PG,8.0,8.0,33.0,3.6,7.5,0.483,1.1,3.3,0.346,2.5,4.3,0.588,0.558,1.1,1.6,0.692,1.5,2.6,4.1,4.0,0.9,0.1,2.0,3.1,9.5
Nikola Jović,21.0,MIA,PF,4.0,0.0,18.8,3.3,8.8,0.371,1.5,6.0,0.25,1.8,2.8,0.636,0.457,1.5,1.5,1.0,1.0,3.0,4.0,1.5,0.8,0.3,1.3,0.5,9.5
T.J. McConnell,32.0,IND,PG,23.0,0.0,17.5,4.1,7.6,0.537,0.3,0.8,0.421,3.7,6.8,0.551,0.56,1.0,1.2,0.815,0.5,2.7,3.3,4.0,0.9,0.1,1.9,1.1,9.5
Obi Toppin,26.0,IND,PF,23.0,0.0,19.1,3.6,7.4,0.485,1.1,3.4,0.321,2.5,4.0,0.624,0.558,1.1,1.6,0.694,0.6,3.3,3.8,1.3,0.7,0.3,1.0,2.0,9.4
Alex Caruso,30.0,OKC,SG,23.0,0.0,24.4,3.1,7.0,0.45,1.6,3.9,0.411,1.5,3.0,0.5,0.566,1.3,1.7,0.795,0.7,2.0,2.7,2.2,2.0,0.6,0.8,2.7,9.2
Draymond Green,34.0,GSW,PF,12.0,12.0,32.4,3.5,9.0,0.389,1.3,5.0,0.267,2.2,4.0,0.542,0.463,0.8,1.1,0.692,0.8,4.8,5.5,3.8,1.4,0.9,3.0,3.7,9.1
Michael Porter Jr.,26.0,DEN,SF,14.0,14.0,31.1,3.4,8.6,0.392,1.7,5.0,0.343,1.6,3.6,0.46,0.492,0.7,1.0,0.714,1.0,4.5,5.5,0.6,0.6,0.4,0.9,1.9,9.1
Donte DiVincenzo,28.0,MIN,SG,15.0,0.0,25.1,3.1,8.4,0.365,1.9,5.9,0.318,1.2,2.5,0.474,0.476,0.7,0.9,0.769,0.8,2.3,3.1,3.3,1.4,0.3,1.9,3.0,8.7
Marvin Bagley III,25.0,MEM,PF,2.0,0.0,14.0,4.0,4.5,0.889,0.5,0.5,1.0,3.5,4.0,0.875,0.944,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,0.5,1.5,1.5,8.5
Nickeil Alexander-Walker,26.0,MIN,SG,15.0,0.0,20.7,2.9,7.5,0.389,1.5,4.2,0.349,1.5,3.3,0.44,0.487,1.0,1.1,0.882,0.5,1.3,1.8,2.3,0.4,0.3,1.5,1.6,8.3
Anthony Black,21.0,ORL,PG,5.0,0.0,17.8,3.0,7.4,0.405,0.4,2.6,0.154,2.6,4.8,0.542,0.432,1.8,2.6,0.692,2.0,2.4,4.4,0.0,0.8,0.2,0.4,1.6,8.2
Isaiah Hartenstein,26.0,OKC,C,23.0,20.0,22.4,3.6,5.8,0.619,0.0,0.0,,3.6,5.8,0.619,0.619,0.9,1.3,0.667,2.7,4.8,7.5,2.2,0.8,0.5,1.2,2.5,8.1
