Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shaedon Sharpe,22.0,POR,SG,5.0,0.0,13.4,2.8,6.8,0.412,0.6,2.2,0.273,2.2,4.6,0.478,0.456,1.0,1.6,0.625,0.6,1.0,1.6,0.6,0.4,0.4,0.0,1.0,7.2
Toumani Camara,25.0,POR,PF,5.0,5.0,33.0,2.2,7.6,0.289,1.4,5.4,0.259,0.8,2.2,0.364,0.382,1.2,1.2,1.0,1.6,3.8,5.4,1.2,1.4,0.6,1.4,2.6,7.0
Donovan Clingan,21.0,POR,C,5.0,5.0,21.4,2.8,9.2,0.304,1.0,5.0,0.2,1.8,4.2,0.429,0.359,0.4,0.8,0.5,2.8,5.0,7.8,2.2,0.2,0.6,0.6,2.8,7.0
Jakob Poeltl,30.0,TOR,C,7.0,7.0,19.1,2.9,4.4,0.645,0.0,0.0,,2.9,4.4,0.645,0.645,1.3,2.0,0.643,1.7,4.3,6.0,1.4,0.9,0.9,0.9,2.7,7.0
Quentin Grimes,25.0,PHI,SG,11.0,0.0,22.1,2.1,5.3,0.397,1.3,3.2,0.4,0.8,2.1,0.391,0.517,1.3,1.5,0.875,0.2,2.5,2.7,2.3,0.3,0.5,0.5,1.9,6.7
Spencer Jones,24.0,DEN,SF,6.0,3.0,24.2,2.2,3.2,0.684,1.5,2.2,0.692,0.7,1.0,0.667,0.921,0.7,0.8,0.8,0.5,1.5,2.0,0.3,0.7,1.2,0.7,3.3,6.5
Bruce Brown,29.0,DEN,SG,6.0,0.0,19.3,2.5,5.7,0.441,0.5,1.8,0.273,2.0,3.8,0.522,0.485,0.8,1.5,0.556,0.5,2.2,2.7,1.7,1.7,0.0,1.5,2.7,6.3
Nikola Vučević,35.0,BOS,C,6.0,0.0,19.0,2.3,6.2,0.378,1.2,4.0,0.292,1.2,2.2,0.538,0.473,0.3,0.7,0.5,0.8,3.5,4.3,2.3,0.2,0.5,1.3,2.5,6.2
Jase Richardson,20.0,ORL,SG,1.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Landry Shamet,28.0,NYK,SG,19.0,0.0,16.3,2.1,4.5,0.453,1.5,3.2,0.475,0.5,1.3,0.4,0.622,0.4,0.5,0.778,0.3,0.8,1.1,0.7,0.2,0.1,0.4,1.7,6.0
Caris LeVert,31.0,DET,SG,13.0,0.0,16.6,2.2,5.0,0.446,0.8,2.1,0.37,1.5,2.9,0.5,0.523,0.7,0.8,0.9,0.5,1.8,2.2,1.2,0.6,0.5,0.6,1.5,5.9
Jaxson Hayes,25.0,LAL,C,10.0,0.0,16.3,1.9,2.8,0.679,0.0,0.1,0.0,1.9,2.7,0.704,0.679,1.9,2.7,0.704,1.5,1.7,3.2,0.7,0.3,0.8,1.0,2.7,5.7
